a_la_carte	table_d'hote
classical	nonclassical
classicism	Romanticism
classicist	romanticist
classification	declassification
classified	unclassified
clean	dirty	unclean
cleanliness	uncleanliness
cleanness	dirtiness
clear	opaque	cloudy	unclear	bounce
clearness	unclearness
clergy	laity
clergyman	layman
clip	unclip
clog	unclog
close	open	distant
closed_chain	open_chain
closed_circuit	open_circuit
closed_interval	open_interval
closeness	openness
closing	opening
clutter	unclutter
cognizance	incognizance
coherence	incoherence
coil	uncoil
cold	hot
cold_war	hot_war
coldness	hotness
collateral	lineal
collective	distributive
color	colorlessness	discolor	black-and-white
colored	uncolored
colorlessness	color
combustible	noncombustible
come	go
comedy	tragedy
comfort	discomfort
commercial	noncommercial
common	uncommon	individual
common_noun	proper_noun
commonality	individuality
commonness	uncommonness
communicativeness	uncommunicativeness
compact	loose
compatibility	incompatibility
competence	incompetence
competition	cooperation
completeness	incompleteness
complex	simple
complex_instruction_set_computer	reduced_instruction_set_computer
complex_instruction_set_computing	reduced_instruction_set_computing
complexity	simplicity
compliance	noncompliance
composure	discomposure
compound	simple
comprehensibility	incomprehensibility
comprehension	incomprehension
comprehensive	noncomprehensive
compress	decompress
compressibility	incompressibility
compression	decompression
con	pro
concave_polygon	convex_polygon
concealing	revealing
conceit	humility
concentrate	deconcentrate
concentration	dilution	distribution
concentricity	eccentricity
conception	misconception
concern	unconcern
conclusiveness	inconclusiveness
concrete	abstract
concreteness	abstractness
conductor	insulator
confidence	diffidence
conformism	nonconformism
conformist	nonconformist
conformity	nonconformity
congeniality	uncongeniality
congruity	incongruity
congruousness	incongruousness
conjunctive	disjunctive
connectedness	disconnectedness	unconnectedness
consanguinity	affinity
conscientiousness	unconscientiousness
consciousness	unconsciousness
consequence	inconsequence
conservative	liberal
conserve	waste
consideration	inconsideration
consistency	inconsistency
consonant	vowel
conspicuousness	inconspicuousness
constancy	inconstancy
constant	inconstant
constitutional	unconstitutional
construction	misconstruction
constructiveness	destructiveness
consumptive	generative
contamination	decontamination
content	discontent
contentment	discontentment
continent	incontinent
continuance	discontinuance
continuant_consonant	stop_consonant
continuation	discontinuation
continuity	discontinuity
contract	expand
contraction	expansion
contraindication	indication
convenience	inconvenience
conventionality	unconventionality
convergence	divergence
convergency	divergency
convergent_thinking	divergent_thinking
convertibility	inconvertibility
convertible	inconvertible
convex_polygon	concave_polygon
convict	acquit
conviction	acquittal
cooking_apple	eating_apple
cool	warm	heat
cooperation	competition
cooperative	uncooperative
coordination	incoordination
cork	uncork
corporeality	incorporeality
corpuscular_theory	wave_theory
corpuscular_theory_of_light	wave_theory_of_light
correctness	incorrectness
corruptibility	incorruptibility
corruptness	incorruptness
cortex	medulla
cosmopolitan	provincial	endemic
counterfactuality	factuality
counterfeit	genuine
counterrevolutionary	revolutionary
couple	uncouple
courage	cowardice
courtesy	discourtesy
cover	uncover
covert	overt
cowardice	courage
crate	uncrate
creativeness	uncreativeness
credibility	incredibility
credit	cash	debit
creditor	debtor
crescendo	decrescendo
criminalisation	decriminalisation
criminalization	decriminalization
crookedness	straightness
cross	uncross
cross-fertilization	self-fertilization
cross-pollination	self-pollination
cry	laugh
cryptogamia	Phanerogamae
cultivated_plant	weed
curability	incurability
curableness	incurableness
curliness	straightness
current	noncurrent
curse	bless
curve	straight_line
custom-made	ready-made
cut	uncut
cyclone	anticyclone
dabbling_duck	diving_duck
danger	safety
dangerousness	safeness
dark	light
darkness	lightness
daughter	son
day	night
day_game	night_game
day_school	boarding_school	night_school
deactivation	activation
dead	alive	living	live
deaf	hearing
death	birth
debit	credit
debtor	creditor
deceleration	acceleration
decency	indecency
decentralization	centralization
deciduous_plant	evergreen_plant
decision	indecision
decisiveness	indecisiveness
declarative	interrogative
declassification	classification
decline	improvement
decompression	compression
decontamination	contamination
decorousness	indecorousness
decorum	indecorum
decrease	increase
decrement	increment
decrescendo	crescendo
decriminalisation	criminalisation
decriminalization	criminalization
dedicated_file_server	non-dedicated_file_server
deductible	nondeductible
deep	shallow
deepness	shallowness
default	pay_up
defeat	victory
defeated	undefeated
defence	offence
defendant	plaintiff
defense	offense	prosecution
defensive	offensive
deficit	lead
deflation	disinflation	inflation
deflationary_spiral	inflationary_spiral
delay	rush
demand	supply
demerit	merit
demobilization	mobilization
demonetization	monetization
demonstrative	undemonstrative
demotion	promotion
denationalization	nationalization
dependability	undependability
dependableness	undependableness
dependent	independent
depigmentation	pigmentation
deposit	withdraw
depreciation	appreciation
depressant	stimulative
depression	elation
descendant	ancestor
descending_node	ascending_node
descent	ascent
descriptive_linguistics	prescriptive_linguistics
desirability	undesirability
despair	hope
destabilisation	stabilisation
destabilization	stabilization
destructibility	indestructibility
destructiveness	constructiveness
desynchronization	synchronization
desynchronizing	synchronizing
detribalisation	tribalisation
detribalization	tribalization
development	nondevelopment
deviate	conform
devolution	evolution
dextrorotation	levorotation
diapsid	anapsid
die	be_born
difference	sameness
difficulty	ease
diffidence	confidence
digestibility	indigestibility
digitigrade	plantigrade
digitigrade_mammal	plantigrade_mammal
dilution	concentration
diminution	augmentation
diploid	polyploid	haploid
direct_current	alternating_current
direct_discourse	indirect_discourse
direct_evidence	circumstantial_evidence
directness	indirectness
dirtiness	cleanness
disadvantage	advantage
disagreeableness	agreeableness
disagreement	agreement
disappearance	appearance
disapprobation	approbation
disapproval	approval
disarmament	armament
disarming	arming
disassembly	assembly
disassociation	association
disassortative_mating	assortative_mating
discharge	charge	enlist
discipline	indiscipline
discomfort	comfort
discomposure	composure
disconnect	connect
disconnectedness	connectedness
discontent	content
discontentment	contentment
discontinuance	continuance
discontinuation	continuation
discontinuity	continuity
discouragement	encouragement
discourtesy	courtesy
disembarkation	embarkation
disembarrassment	embarrassment
disenfranchisement	enfranchisement
disequilibrium	equilibrium
disesteem	esteem
disfluency	fluency
dishonesty	honesty
dishonor	honor
dishonorableness	honorableness
disincentive	incentive
disinclination	inclination
disinflation	deflation	inflation
disingenuousness	ingenuousness
dislike	like	liking
disloyalty	loyalty
disobedience	obedience
disorder	order
disorderliness	orderliness
dispensability	indispensability
dispensableness	indispensableness
disposable	nondisposable
disproportion	proportion
disreputability	reputability
disrepute	repute
disrespect	respect
dissatisfaction	satisfaction
dissent	assent
disservice	service
dissimilarity	similarity
dissimilitude	similitude
dissonance	harmony
dissuasion	persuasion
distinctness	indistinctness
distributary	tributary
distribution	concentration
distrust	trust
disunion	union
divergence	convergence
divergency	convergency
divergent_thinking	convergent_thinking
divide	unite	multiply
diving_duck	dabbling_duck
dock	undock
doctrine_of_analogy	apophatism	cataphatism
dolichocephalic	brachycephalic
domestic	undomestic	foreign
domestic_flight	international_flight
dominant	recessive	subordinate
double	single
dove	hawk
dovishness	hawkishness
down	up
downgrade	upgrade
downstage	upstage
downtick	uptick
downtime	uptime
downtown	uptown
draftee	volunteer
dress	undress
drinkable	undrinkable
drinker	nondrinker
driver	nondriver
drunkenness	soberness
dry	sweet	phlegmy	wet
dry-bulb_thermometer	wet-bulb_thermometer
dry_fly	wet_fly
dry_season	rainy_season
dryness	wetness
due	undue
dullness	sharpness	brightness
dumb_bomb	smart_bomb
dying	nascent
dynamic	undynamic
