a_la_carte table_d'hote 
abducent adducent 
abience adience 
ability inability 
abnormality normality 
above below 
abruptness gradualness 
absence presence 
absolute relative 
absorbency nonabsorbency 
absorbent nonabsorbent 
abstract concrete 
abstractness concreteness 
abundance scarcity 
acatalectic hypercatalectic catalectic 
acceleration deceleration 
acceptability unacceptability 
acceptance rejection 
accessibility inaccessibility 
accrual_basis cash_basis 
accuracy inaccuracy 
achiever loser 
achromatic_color chromatic_color 
acidity alkalinity 
acquaintance stranger 
acquittal conviction 
acrocarp pleurocarp 
act refrain 
action inaction 
activation inactivation deactivation 
activator inhibitor 
active stative extinct inactive passive quiet dormant 
active_trust passive_trust 
active_voice passive_voice 
activeness inactiveness 
activity inactivity 
actual_sin original_sin 
acute chronic obtuse 
acuteness obtuseness 
adaptability unadaptability 
add subtract take_away 
addition subtraction 
additive subtractive 
adduct abduct 
adequacy inadequacy 
adhesive nonadhesive 
adience abience 
adjective substantive 
admissibility inadmissibility 
adsorbent nonadsorbent 
adult juvenile 
advance recede retreat back 
advantage disadvantage 
advisability inadvisability 
aesthetic inaesthetic 
affectedness unaffectedness 
afferent efferent 
affinity consanguinity 
affirmation reversal 
affirmative negative 
age rejuvenate 
aged young 
agitation calmness 
agnostic gnostic 
agonist antagonist 
agreeableness disagreeableness 
agreement disagreement 
air_mail surface_mail 
alcoholic nonalcoholic 
alert unalert 
alignment nonalignment 
aliquant aliquot 
aliquot aliquant 
alkalinity acidity 
allogamy autogamy 
allopathy homeopathy 
allopatry sympatry 
alterability unalterability 
alternate opposite 
alternating_current direct_current 
altruism egoism 
amateur professional 
ambiguity unambiguity 
ambiversion introversion extraversion 
anabolism catabolism 
analogue digital 
analphabetic alphabetic 
analysis synthesis 
anamorphism katamorphism 
anaphrodisia aphrodisia 
anapsid diapsid 
anastalsis peristalsis 
ancestor descendant 
anestrus estrus 
anglican Nonconformist 
anglophilia Anglophobia 
anglophobia Anglophilia 
angularity roundness 
animateness inanimateness 
anionic cationic 
anisotropy isotropy 
annual perennial biennial 
anode cathode 
anovulation ovulation 
answer question 
antagonist synergist agonist 
antapex apex 
antecedent subsequent 
anterior posterior 
anteriority posteriority 
anti pro 
anti-american pro-American 
